holiday_id,holiday_date,name,created_at,updated_at
d16492e7-16a7-4182-960e-75274f00e992,2025-01-01,New Year's Day,2025-07-24T20:09:41.205626,2025-07-24T20:09:41.205631
473669ea-6462-4d3d-90d7-621365f3ffbc,2025-01-20,Martin Luther King Jr. Day,2025-07-24T20:09:41.205637,2025-07-24T20:09:41.205637
63236c44-beff-400f-90fb-4add09e5676a,2025-02-17,Presidents' Day (Washington's),2025-07-24T20:09:41.205644,2025-07-24T20:09:41.205645
898549c5-a1d1-4329-a11e-8f655df82623,2025-04-21,Patriots' Day (MA only),2025-07-24T20:09:41.205648,2025-07-24T20:09:41.205649
96a8d243-614d-45a0-9ee0-87245236c094,2025-05-26,Memorial Day,2025-07-24T20:09:41.205652,2025-07-24T20:09:41.205653
999a6b36-bcb3-48ef-b4b9-7ae7ea4442e1,2025-06-19,Juneteenth,2025-07-24T20:09:41.205656,2025-07-24T20:09:41.205656
9eaa88e1-80fb-46b6-adc5-eff8d96c5e89,2025-07-04,Independence Day,2025-07-24T20:09:41.205660,2025-07-24T20:09:41.205661
601537a3-0d64-4701-a52f-12c3617ea287,2025-09-01,Labor Day,2025-07-24T20:09:41.205667,2025-07-24T20:09:41.205667
2f868227-e106-4252-a13e-f8272564cc97,2025-10-13,Columbus/Indigenous Peoples' Day,2025-07-24T20:09:41.205671,2025-07-24T20:09:41.205672
5d95791d-0232-4a2f-8300-052d68158d66,2025-11-11,Veterans Day,2025-07-24T20:09:41.205675,2025-07-24T20:09:41.205675
5dbee532-0564-402f-94ed-2e9e617eea43,2025-11-27,Thanksgiving Day,2025-07-24T20:09:41.205678,2025-07-24T20:09:41.205678
300e4238-d4f1-4fa9-9967-db6afd31f465,2025-12-24,Christmas Eve,2025-07-24T20:09:41.205681,2025-07-24T20:09:41.205682
d976e3c0-2043-478f-8011-02eed891bf40,2025-12-25,Christmas Day,2025-07-24T20:09:41.205684,2025-07-24T20:09:41.205685
1afbdb57-4941-4385-b00f-9e4a2e0e826d,2026-01-01,New Year's Day,2025-07-24T20:09:41.205688,2025-07-24T20:09:41.205688
bf2a432d-b99a-4fc3-98dd-d1108b569fd8,2026-01-19,Martin Luther King Jr. Day,2025-07-24T20:09:41.205691,2025-07-24T20:09:41.205691
6aeca7eb-c5e3-4904-8dd7-12200df81666,2026-02-16,Presidents' Day (Washington's),2025-07-24T20:09:41.205694,2025-07-24T20:09:41.205694
49df2d83-d6fa-466f-9b12-abda50eccebe,2026-04-20,Patriots' Day (MA only),2025-07-24T20:09:41.205697,2025-07-24T20:09:41.205697
5b4dc67f-182b-4ad5-9aff-c3cb1ea7f71b,2026-05-25,Memorial Day,2025-07-24T20:09:41.205700,2025-07-24T20:09:41.205701
96798079-52dc-4f02-8380-f0a8ab97ae27,2026-06-19,Juneteenth,2025-07-24T20:09:41.205703,2025-07-24T20:09:41.205704
6cd41e5c-e70e-465f-8347-c7dbb55b676b,2026-07-04,Independence Day,2025-07-24T20:09:41.205706,2025-07-24T20:09:41.205707
0ecc3a83-8b2e-408f-90f9-57319cd5fe2a,2026-09-07,Labor Day,2025-07-24T20:09:41.205710,2025-07-24T20:09:41.205710
cfb389af-76c6-4209-a84f-3b2ca9e0f26a,2026-10-12,Columbus/Indigenous Peoples' Day,2025-07-24T20:09:41.205713,2025-07-24T20:09:41.205713
f9f9d982-be8a-4db8-bc92-1290d9be4d79,2026-11-11,Veterans Day,2025-07-24T20:09:41.205716,2025-07-24T20:09:41.205717
c4688698-1dad-4038-9f5d-313c26f1d00b,2026-11-26,Thanksgiving Day,2025-07-24T20:09:41.205719,2025-07-24T20:09:41.205720
701b1604-493a-434d-ab98-32dda6487a23,2026-12-24,Christmas Eve,2025-07-24T20:09:41.205723,2025-07-24T20:09:41.205723
d511bbf5-00d9-4c5e-b51f-9f23ac454217,2026-12-25,Christmas Day,2025-07-24T20:09:41.205726,2025-07-24T20:09:41.205726