resource_id,cell_id,department,name,type,capacity,cost_per_hour,created_at,updated_at
733f933c-fc40-412d-9ee4-e53cb34d797c,71eaf0da-5564-4e44-b715-c3468c54e03d,MS,HAAS,MACHINE,1,2500,,
2c3bda82-6fba-4b52-a370-ac005ba4bd95,71eaf0da-5564-4e44-b715-c3468c54e03d,MS,OKMA,MACHINE,1,3500,,
05b39be4-6e7b-42a9-89c5-c1c9cde64034,de20da6e-ff97-4c79-b79f-a154f1b73271,FH,ULTRA,MACHINE,1,1200,,
6eb6438d-1747-48fa-b8a9-b6dfd71a0743,e1c1aab5-05ec-4fbc-a6da-5c9352757641,FH,BENCH,MACHINE,1,200,,
ca332d8b-89db-4800-9475-b2f12a72b8f4,bdae843e-b535-4c0c-9264-f34f61dca49d,FH,OVEN,MACHINE,1,1000,,
dd0467e6-951e-4dfd-8ffe-d4d8d3e4a5ff,bdae843e-b535-4c0c-9264-f34f61dca49d,FH,LEAK,MACHINE,1,700,,
eab2fb03-3ea8-45c3-9d33-fdc481966dc7,e1c1aab5-05ec-4fbc-a6da-5c9352757641,FH,VKX,MACHINE,1,3000,,
c4d2e54b-7ef4-4e96-b5b7-aa87b5be3b66,e1c1aab5-05ec-4fbc-a6da-5c9352757641,FH,POGO,MACHINE,1,400,,
7e0c38d7-7a5f-4150-9e1a-9cf92cca173d,e1c1aab5-05ec-4fbc-a6da-5c9352757641,FH,VCURE,MACHINE,1,500,,
505524ca-b5b9-49ca-9240-a6c21060115b,de20da6e-ff97-4c79-b79f-a154f1b73271,FH,BPREP,MACHINE,1,2000,,
8630e3b2-c7db-4ef4-a012-85ee5c6fdda0,91ba4bf0-6a0f-4d49-af2e-db966832374f,FH,LFS 1,MACHINE,1,2200,,
7ac85200-2100-49e0-839b-ad37e704e1ed,7cc7000e-c432-4f64-ba05-2175dca04643,FH,LFS 2,MACHINE,1,2200,,
aa6a2760-1884-4c5c-9433-42d2b78eef0b,91ba4bf0-6a0f-4d49-af2e-db966832374f,FH,SPOT 1,MACHINE,1,1800,,
477aa476-9dda-4b10-851b-6304e005cce7,7cc7000e-c432-4f64-ba05-2175dca04643,FH,SPOT 2,MACHINE,1,1800,,
44964f33-19fe-46be-8200-24b4d7ec8e7a,ff3c07db-9f4b-4986-8e4a-438701ab4cca,FH,FHTST 1,MACHINE,1,200,,
e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,74bcbc71-8611-48de-b421-17b4d8f4ce32,FH,FHTST 2,MACHINE,1,200,,
c0893f09-85f4-434a-84ce-60b2e06b2162,f4152f42-0184-495e-8551-113fe5634e32,FH,CONE,MACHINE,4,1500,,
7673f112-7f0b-4a07-bdcb-2cae23299fcb,65b200fa-67f7-4b16-ba41-aa96bf038b77,OB,ULTRA,MACHINE,1,1500,,
43e43e1d-b1f5-4635-9285-d7fd91bd4a4c,d846700c-57d8-4161-a91e-0c8394133f21,OB,LENAS,MACHINE,1,1000,,
52200ad1-197c-47c2-9cbc-b3b2bdb05acc,d846700c-57d8-4161-a91e-0c8394133f21,OB,OVEN,MACHINE,1,1000,,
3b765e06-3656-4afa-9975-20e87ded2603,63f736fd-6608-480d-b2a1-6a4ecdc26118,OB,OPTO 1,MACHINE,1,3000,,
3b765e06-3656-4afa-9975-20e87ded2603,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,OB,OPTO 1,Machine,1,3000,,
f4889ffc-68d5-4c07-82b1-1883739d2f5a,68766f04-9494-4fe1-a774-18ae0cc6df40,OB,BENCH,MACHINE,1,700,,
fadf12a9-48d4-45de-95e3-a72543d85c7b,9f440a74-385e-49bf-ba6f-f7a7d370aa42,OB,LEAK,MACHINE,1,400,,
40cde493-786c-4957-9406-0dc751c1ed72,68766f04-9494-4fe1-a774-18ae0cc6df40,OB,CBLAS,MACHINE,1,200,,
7ad56bf3-ab3d-410a-98b3-0499b3e2058f,9f55118c-0078-4a78-a236-b469bd1b64bb,OB,TUBE,MACHINE,1,3500,,
75fc7e90-1ffc-47fd-9121-165e54ddb6e8,1b9801f0-b5ed-4751-84d5-6d6b69ed65ba,OB,BAT,MACHINE,1,5000,,
9a0c9bbc-5234-4fb6-9f99-f74c5c9a6420,b8866cc9-5909-4eb8-8f1e-ddec1d1c1e61,OB,CRT,MACHINE,1,200,,
3c5d31f8-8a0e-4b79-8ffa-8a419fd31797,NULL,FH,PU001,OPERATOR,1,4800,,
0afb67d6-aae4-4214-8566-811807d62429,NULL,FH,SS002,OPERATOR,1,4800,,
d4cf2c5a-0a4e-4152-90a4-2bccd3d02c36,NULL,FH,TN003,OPERATOR,1,4800,,
88c45821-566d-4002-8acd-33a7200b8bf1,NULL,MS,DR004,OPERATOR,1,4400,,
a0708d90-f55b-47d1-9329-71574aa8354e,NULL,OB,GG005,OPERATOR,1,7000,,
33764212-472d-4b5b-8cf8-63469f9a976c,NULL,OB,KR006,OPERATOR,1,4400,,
552cbd1b-5343-4ad6-824d-3e1a71089003,NULL,OB,SR007,OPERATOR,1,4400,,